text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)w,"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 0",c,,,,,ˀw,,,,or,,,,או,)w,conjunction,or
b(yt,"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 1",verb G,,,,,bˁy,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעית,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
)ym),"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 2",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
sbr);,"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 3",noun sg. emphatic,,,,,"sbr, sbrˀ",,,,opinion,,,,סברא;,sbr),noun sg. emphatic,opinion
)w,"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 4",c,,,,,ˀw,,,,or,,,,או,)w,conjunction,or
b(yt,"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 5",verb G,,,,,bˁy,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעית,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
^)ym)^,"Masekhet: 71028, Page: 002, Side: 1, Line: 23, Word: 7",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
^qr)h^;,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 0",noun sg. emphatic,,,,,"qry, qryˀ",,,,crying; reading,,,,קראה;,qr),noun sg. emphatic,crying; reading
)w,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 1",c,,,,,ˀw,,,,or,,,,או,)w,conjunction,or
b(yt,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 2",verb G,,,,,bˁy,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעית,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
)ym),"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 3",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אימא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
sbr);,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 4",noun sg. emphatic,,,,,"sbr, sbrˀ",,,,opinion,,,,סברא;,sbr),noun sg. emphatic,opinion
m$wM,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 5",c,,,,,mšwm,,,,"because, since",,,,משום,m$wm,conjunction,"because, since"
d$ny,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 6",c,verb D,,,,dy,šny,,,to change (trans.),"(d.o. mind, reason) : to act insane",to move from place to place (intrans.),to reply,דשני,$ny,conjunction | verb pael,"to change (trans.) | (d.o. mind, reason) : to act insane | to move from place to place (intrans.) | to reply"
byh,"Masekhet: 71028, Page: 002, Side: 1, Line: 24, Word: 7",p02,,,,,b_,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix,"in, with"
kl hky;,"Masekhet: 71028, Page: 002, Side: 1, Line: 25, Word: 0",X,,,,,"hykˀ, hykn",,,,where,,,,כל הכי;,kl@hyk),X,where
ly$ny,"Masekhet: 71028, Page: 002, Side: 1, Line: 25, Word: 1",verb D,,,,,šny,,,,to change (trans.),"(d.o. mind, reason) : to act insane",to move from place to place (intrans.),to reply,לישני,$ny,verb pael,"to change (trans.) | (d.o. mind, reason) : to act insane | to move from place to place (intrans.) | to reply"
bh,"Masekhet: 71028, Page: 002, Side: 1, Line: 25, Word: 2",p02,,,,,b_,,,,"in, with",,,,בה,b_,preposition with pronominal suffix,"in, with"
wlyzyl,"Masekhet: 71028, Page: 002, Side: 1, Line: 25, Word: 3",c,verb G,,,,w_,ˀzl,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",וליזיל,)zl,conjunction | verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
my,"Masekhet: 71028, Page: 002, Side: 2, Line: 02, Word: 0",c,,,,,my,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
$ry,"Masekhet: 71028, Page: 002, Side: 2, Line: 02, Word: 1",A01,,,,,šry,,,,"free, unrestrained",,,,שרי,$ry,adjective singular absolute or construct,"free, unrestrained"
l$nwyy,"Masekhet: 71028, Page: 002, Side: 2, Line: 02, Word: 2",p02,verb D,,,,l_,šny,,,to change (trans.),"(d.o. mind, reason) : to act insane",to move from place to place (intrans.),to reply,לשנויי,$ny,preposition with pronominal suffix | verb pael,"to change (trans.) | (d.o. mind, reason) : to act insane | to move from place to place (intrans.) | to reply"
bh,"Masekhet: 71028, Page: 002, Side: 2, Line: 02, Word: 3",p02,,,,,b_,,,,"in, with",,,,בה,b_,preposition with pronominal suffix,"in, with"
gbN,"Masekhet: 71028, Page: 002, Side: 2, Line: 04, Word: 0",p,,,,,"gb, gby",,,,"at the side of, together with",,,,גבן,gby,preposition,"at the side of, together with"
b)wrt),"Masekhet: 71028, Page: 002, Side: 2, Line: 04, Word: 1",p02,noun sg. emphatic,,,,b_,"ˀwrh, ˀwrtˀ",,,"in, with",nightfall,,,באורתא,)wrt),preposition with pronominal suffix | noun sg. emphatic,"in, with | nightfall"
by <xrmK#80#>;,"Masekhet: 71028, Page: 002, Side: 2, Line: 04, Word: 2",No data,,,,,,,,,,,,,בי חרמך;,None,No data,
drm),"Masekhet: 71028, Page: 002, Side: 2, Line: 04, Word: 3",c,verb G,,,,dy,rmy,,,to throw downward,to set something down,fig. (w.,) : to impose something (on someone),דרמא,rmy,conjunction | verb peal,to throw downward | to set something down | fig. (w. | ) : to impose something (on someone)
rb),"Masekhet: 71028, Page: 002, Side: 2, Line: 04, Word: 4",No data,,,,,,,,,,,,,רבא,None,No data,
myly,"Masekhet: 71028, Page: 002, Side: 2, Line: 04, Word: 5",noun pl. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילי,mylt),noun pl. emphatic,"word, speech; thing"
m(ly)t),"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 0",A05,,,,,mˁly,,,,excellent,,,,מעליאתא,m(ly,adjective plural determined,excellent
)hddy,"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 1",R,,,,,"ḥddˀ, hddy",,,,one another; each other,,,,אהדדי,)hddy,R,one another; each other
w$ny,"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 2",c,verb D,,,,w_,šny,,,to change (trans.),"(d.o. mind, reason) : to act insane",to move from place to place (intrans.),to reply,ושני,$ny,conjunction | verb pael,"to change (trans.) | (d.o. mind, reason) : to act insane | to move from place to place (intrans.) | to reply"
<lhw;,"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 3",p,,,,,l_,,,,"to, for",,,,להו;,l_,preposition,"to, for"
m)y,"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 4",P01,,,,,mˀy,,,,what,,,,מאי,m)y,preposition independent,what
myly,"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 5",noun pl. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילי,mylt),noun pl. emphatic,"word, speech; thing"
m(lyyt'#80#>;,"Masekhet: 71028, Page: 002, Side: 2, Line: 05, Word: 6",A05,,,,,mˁly,,,,excellent,,,,מעליית';,m(ly,adjective plural determined,excellent
w)y,"Masekhet: 71028, Page: 002, Side: 2, Line: 34, Word: 0",c,c,,,,w_,ˀy,,,"and, also","if, whether",,,ואי,)y,conjunction | conjunction,"and, also | if, whether"
slq),"Masekhet: 71028, Page: 002, Side: 2, Line: 34, Word: 1",verb G,,,,,slq,,,,to go up,to result,to travel,idioms:,סלקא,slq,verb peal,to go up | to result | to travel | idioms:
d(t),"Masekhet: 71028, Page: 002, Side: 2, Line: 34, Word: 2",noun sg. emphatic,,,,,"dˁt, dˁtˀ",,,,knowledge,,,,דעתא,d(t),noun sg. emphatic,knowledge
bstm),"Masekhet: 71028, Page: 002, Side: 2, Line: 34, Word: 3",p02,noun sg. emphatic,,,,b_,"stm, stmˀ",,,"in, with",unspecified,,,בסתמא,stm),preposition with pronominal suffix | noun sg. emphatic,"in, with | unspecified"
"""pswl""","Masekhet: 71028, Page: 002, Side: 2, Line: 34, Word: 4",No data,,,,,,,,,,,,,פסול,None,No data,
qymy,"Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 0",verb G,,,,,qwm,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קימי,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
"""byt","Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 1",No data,,,,,,,,,,,,,בית,None,No data,
"dyN""","Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 2",No data,,,,,,,,,,,,,דין,None,No data,
mtnw,"Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 3",verb C,,,,,tny,,,,"to make a condition, stipulate",,,,מתנו,tny#2,verb (h)aphel,"to make a condition, stipulate"
dlybwd,"Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 4",c,verb G,,,,dy,ˁbd,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,דליבוד,(bd,conjunction | verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
mylt),"Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 5",noun sg. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילתא,mylt),noun sg. emphatic,"word, speech; thing"
^d^mypsyl,"Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 6",c,verb Gt,,,,dy,psl,,,"to become unfit, declared unfit",to be scorned,,,דמיפסיל,psl,conjunction | verb ethpeel,"to become unfit, declared unfit | to be scorned"
bh;,"Masekhet: 71028, Page: 002, Side: 2, Line: 35, Word: 7",p02,,,,,b_,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
wgby,"Masekhet: 71028, Page: 002, Side: 2, Line: 36, Word: 0",c,p,,,,w_,"gb, gby",,,"and, also","at the side of, together with",,,וגבי,gby,conjunction | preposition,"and, also | at the side of, together with"
"""gT""","Masekhet: 71028, Page: 002, Side: 2, Line: 36, Word: 1",No data,,,,,,,,,,,,,גט,None,No data,
dst)m),"Masekhet: 71028, Page: 002, Side: 2, Line: 36, Word: 2",p,noun sg. emphatic,,,,dy,"stm, stmˀ",,,"of, genitive particle",unspecified,,,דסתאמא,stm),preposition | noun sg. emphatic,"of, genitive particle | unspecified"
"""pswl""","Masekhet: 71028, Page: 002, Side: 2, Line: 36, Word: 3",No data,,,,,,,,,,,,,פסול,None,No data,
mn),"Masekhet: 71028, Page: 002, Side: 2, Line: 36, Word: 4",a,,,,,mnˀ,,,,whence,,,,מנא,mn),adverb,whence
lN;,"Masekhet: 71028, Page: 002, Side: 2, Line: 36, Word: 5",p02,,,,,l_,,,,"to, for",,,,לן;,l_,preposition with pronominal suffix,"to, for"
"""bswpryN","Masekhet: 71028, Page: 002, Side: 2, Line: 41, Word: 0",No data,,,,,,,,,,,,,בסופרין,None,No data,
(syqynN,"Masekhet: 71028, Page: 002, Side: 2, Line: 41, Word: 2",verb G,,,,,ˁsq,,,,to be difficult,to be occupied with (,"), attend to something",,עסיקינן,(sq,verb peal,"to be difficult | to be occupied with ( | ), attend to something"
dl),"Masekhet: 71028, Page: 002, Side: 2, Line: 41, Word: 3",c,a,,,,dy,lˀ,,,"who,which (relative)","no, not",,,דלא,l),conjunction | adverb,"who,which (relative) | no, not"
)yktyb,"Masekhet: 71028, Page: 002, Side: 2, Line: 42, Word: 0",verb Gt,,,,,ktb,,,,to be written,"to have one's name recorded, to be enrolled",,,איכתיב,ktb,verb ethpeel,"to be written | to have one's name recorded, to be enrolled"
l$wM,"Masekhet: 71028, Page: 002, Side: 2, Line: 42, Word: 1",p01,,,,,l_,,,,"to, for",,,,לשום,l_,preposition independent,"to, for"
"""krytwt""","Masekhet: 71028, Page: 002, Side: 2, Line: 42, Word: 2",No data,,,,,,,,,,,,,כריתות,None,No data,
kll;,"Masekhet: 71028, Page: 002, Side: 2, Line: 42, Word: 3",a,,,,,kll,,,,at all,,,,כלל;,kll,adverb,at all
w)l),"Masekhet: 71028, Page: 002, Side: 2, Line: 42, Word: 4",c,c,,,,w_,ˀlˀ,,,"and, also",but rather,,,ואלא,)l),conjunction | conjunction,"and, also | but rather"
myh),"Masekhet: 71028, Page: 002, Side: 2, Line: 42, Word: 5",a,,,,,"myhˀ, myht, myḥt",,,,"at least, in any case",,,,מיהא,myh),adverb,"at least, in any case"
dlm),"Masekhet: 71028, Page: 003, Side: 1, Line: 03, Word: 0",c,,,,,dlmh,,,,"lest, perhaps",,,,דלמא,dylm),conjunction,"lest, perhaps"
$)ny,"Masekhet: 71028, Page: 003, Side: 1, Line: 03, Word: 1",verb G,,,,,šny,,,,to be different,to go away,,,שאני,$ny,verb peal,to be different | to go away
htM,"Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 0",a,,,,,htm,,,,there,,,,התם,htm,adverb,there
d)yntyq,"Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 1",c,verb Gt,,,,dy,ntq,,,"to be torn out, withdrawn",,,,דאינתיק,ntq,conjunction | verb ethpeel,"to be torn out, withdrawn"
lyh,"Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 2",p,,,,,l_,,,,"to, for",,,,ליה,l_,preposition,"to, for"
l$M,"Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 3",p01,,,,,lšm,,,,for the sake of,,,,לשם,l$wm,preposition independent,for the sake of
"""gyrw$yN""","Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 4",No data,,,,,,,,,,,,,גירושין,None,No data,
dhhy),"Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 5",c,P01,,,,dy,hhyˀ,,,"who,which (relative)",that one (f.),,,דההיא,hhy),conjunction | preposition independent,"who,which (relative) | that one (f.)"
)tt);,"Masekhet: 71028, Page: 003, Side: 1, Line: 04, Word: 6",noun sg. emphatic,,,,,"ˀnth, ˀnttˀ",,,,"woman, wife",,,,אתתא;,)ytt),noun sg. emphatic,"woman, wife"
dylm),"Masekhet: 71028, Page: 003, Side: 1, Line: 07, Word: 0",c,,,,,dlmh,,,,"lest, perhaps",,,,דילמא,dylm),conjunction,"lest, perhaps"
$)ny,"Masekhet: 71028, Page: 003, Side: 1, Line: 07, Word: 1",verb G,,,,,šny,,,,to be different,to go away,,,שאני,$ny,verb peal,to be different | to go away
htM,"Masekhet: 71028, Page: 003, Side: 1, Line: 07, Word: 2",a,,,,,htm,,,,there,,,,התם,htm,adverb,there
d)yntyq,"Masekhet: 71028, Page: 003, Side: 1, Line: 07, Word: 3",c,verb Gt,,,,dy,ntq,,,"to be torn out, withdrawn",,,,דאינתיק,ntq,conjunction | verb ethpeel,"to be torn out, withdrawn"
lh,"Masekhet: 71028, Page: 003, Side: 1, Line: 08, Word: 0",p02,,,,,l_,,,,"to, for",,,,לה,l_,preposition with pronominal suffix,"to, for"
l$wM,"Masekhet: 71028, Page: 003, Side: 1, Line: 08, Word: 1",p01,,,,,lšm,,,,for the sake of,,,,לשום,l$wm,preposition independent,for the sake of
"""gyrw$yh""","Masekhet: 71028, Page: 003, Side: 1, Line: 08, Word: 2",No data,,,,,,,,,,,,,גירושיה,None,No data,
dhhy),"Masekhet: 71028, Page: 003, Side: 1, Line: 08, Word: 3",c,P01,,,,dy,hhyˀ,,,"who,which (relative)",that one (f.),,,דההיא,hhy),conjunction | preposition independent,"who,which (relative) | that one (f.)"
^)tt)^,"Masekhet: 71028, Page: 003, Side: 1, Line: 08, Word: 5",noun sg. emphatic,,,,,"ˀnth, ˀnttˀ",,,,"woman, wife",,,,אתתא,)ytt),noun sg. emphatic,"woman, wife"
<tw,"Masekhet: 71028, Page: 003, Side: 1, Line: 15, Word: 0",X,,,,,twb,,,,again,,,,תו,tw,X,again
rm),"Masekhet: 71028, Page: 003, Side: 1, Line: 15, Word: 1",verb G,,,,,rmy,,,,to throw downward,to set something down,fig. (w.,) : to impose something (on someone),רמא,rmy,verb peal,to throw downward | to set something down | fig. (w. | ) : to impose something (on someone)
mylt),"Masekhet: 71028, Page: 003, Side: 1, Line: 15, Word: 2",noun sg. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילתא,mylt),noun sg. emphatic,"word, speech; thing"
)xryty#10#>;,"Masekhet: 71028, Page: 003, Side: 1, Line: 15, Word: 3",R,,,,,ˀwḥrn,,,,other,,,,אחריתי;,)xryn),R,other
^)lm)^,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 0",c,,,,,"ˁl mˀ, ˁl mnˀ, ˀmˀy",,,,why?,,,,אלמא,)lm),conjunction,why?
dmynh,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 1",p,noun sg. emphatic,,,,dy,"myn, mynˀ",,,"of, genitive particle",kind,,,דמינה,myn),preposition | noun sg. emphatic,"of, genitive particle | kind"
mxryb,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 2",verb C,,,,,ḥrb,,,,to devastate,,,,מחריב,xrb,verb (h)aphel,to devastate
bh;,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 3",p02,,,,,b_,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
dl)w,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 4",c,a,,,,dy,"lˀw, lw",,,"who,which (relative)","not, it is not",,,דלאו,l)w,conjunction | adverb,"who,which (relative) | not, it is not"
mynh,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 5",p02,,,,,mn,,,,from,,,,מינה,mn,preposition with pronominal suffix,from
l)w,"Masekhet: 71028, Page: 003, Side: 1, Line: 18, Word: 6",a,,,,,"lˀw, lw",,,,"not, it is not",,,,לאו,l)w,adverb,"not, it is not"
mxryb,"Masekhet: 71028, Page: 003, Side: 1, Line: 19, Word: 0",verb C,,,,,ḥrb,,,,to devastate,,,,מחריב,xrb,verb (h)aphel,to devastate
bh;,"Masekhet: 71028, Page: 003, Side: 1, Line: 19, Word: 1",p02,,,,,b_,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
wrmynhy,"Masekhet: 71028, Page: 003, Side: 1, Line: 19, Word: 2",c,verb G,,,,w_,rmy,,,to throw downward,to set something down,fig. (w.,) : to impose something (on someone),ורמינהי,rmy,conjunction | verb peal,to throw downward | to set something down | fig. (w. | ) : to impose something (on someone)
"""qd$yM""","Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 0",No data,,,,,,,,,,,,,קדשים,None,No data,
dl,"Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 1",verb D,,,,,dly,,,,"to bring up out, to extract",to lift up,"to hold back, suspend",,דל,dly,verb pael,"to bring up out, to extract | to lift up | to hold back, suspend"
"""xwlyN""","Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 2",No data,,,,,,,,,,,,,חולין,None,No data,
mhk),"Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 3",p,a,,,,mn,hkh,,,from,here,,,מהכא,hk),preposition | adverb,from | here
hwh,"Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 4",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
lhw,"Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 5",p02,,,,,l_,,,,"to, for",,,,להו,l_,preposition with pronominal suffix,"to, for"
stm);,"Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 6",noun sg. emphatic,,,,,"stm, stmˀ",,,,unspecified,,,,סתמא;,stm),noun sg. emphatic,unspecified
wstm),"Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 7",c,noun sg. emphatic,,,,w_,"stm, stmˀ",,,"and, also",unspecified,,,וסתמא,stm),conjunction | noun sg. emphatic,"and, also | unspecified"
"""k$r""","Masekhet: 71028, Page: 003, Side: 1, Line: 23, Word: 8",No data,,,,,,,,,,,,,כשר,None,No data,
<tw,"Masekhet: 71028, Page: 003, Side: 1, Line: 24, Word: 0",X,,,,,twb,,,,again,,,,תו,tw,X,again
rm)#10#>,"Masekhet: 71028, Page: 003, Side: 1, Line: 24, Word: 1",verb G,,,,,rmy,,,,to throw downward,to set something down,fig. (w.,) : to impose something (on someone),רמא,rmy,verb peal,to throw downward | to set something down | fig. (w. | ) : to impose something (on someone)
mylt),"Masekhet: 71028, Page: 003, Side: 1, Line: 24, Word: 2",noun sg. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילתא,mylt),noun sg. emphatic,"word, speech; thing"
)xryty;,"Masekhet: 71028, Page: 003, Side: 1, Line: 24, Word: 3",R,,,,,ˀwḥrn,,,,other,,,,אחריתי;,)xryn),R,other
)ylm),"Masekhet: 71028, Page: 003, Side: 1, Line: 25, Word: 0",a,,,,,ˀlmˀ,,,,conseqently,,,,אילמא,)lm),adverb,conseqently
dmynh,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 0",p,noun sg. emphatic,,,,dy,"myn, mynˀ",,,"of, genitive particle",kind,,,דמינה,myn),preposition | noun sg. emphatic,"of, genitive particle | kind"
mxryb,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 1",verb C,,,,,ḥrb,,,,to devastate,,,,מחריב,xrb,verb (h)aphel,to devastate
bh;,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 2",p02,,,,,b_,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
dl)w,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 3",c,a,,,,dy,"lˀw, lw",,,"who,which (relative)","not, it is not",,,דלאו,l)w,conjunction | adverb,"who,which (relative) | not, it is not"
mynh,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 4",p02,,,,,mn,,,,from,,,,מינה,mn,preposition with pronominal suffix,from
l),"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 5",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
mxryb,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 6",verb C,,,,,ḥrb,,,,to devastate,,,,מחריב,xrb,verb (h)aphel,to devastate
bh;,"Masekhet: 71028, Page: 003, Side: 1, Line: 27, Word: 7",p02,,,,,b_,,,,"in, with",,,,בה;,b_,preposition with pronominal suffix,"in, with"
l),"Masekhet: 71028, Page: 003, Side: 1, Line: 30, Word: 0",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
mhny),"Masekhet: 71028, Page: 003, Side: 1, Line: 30, Word: 1",verb C,,,,,hny,,,,"to profit, to aid someone",w.,: to affect,,מהניא,hny,verb (h)aphel,"to profit, to aid someone | w. | : to affect"
byh,"Masekhet: 71028, Page: 003, Side: 1, Line: 30, Word: 2",p02,,,,,b_,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix,"in, with"
kll,"Masekhet: 71028, Page: 003, Side: 1, Line: 31, Word: 0",a,,,,,kll,,,,at all,,,,כלל,kll,adverb,at all
..;,"Masekhet: 71028, Page: 003, Side: 1, Line: 31, Word: 1",No data,,,,,,,,,,,,,;,None,No data,
^l),"Masekhet: 71028, Page: 003, Side: 1, Line: 31, Word: 2",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
mhny),"Masekhet: 71028, Page: 003, Side: 1, Line: 31, Word: 3",verb C,,,,,hny,,,,"to profit, to aid someone",w.,: to affect,,מהניא,hny,verb (h)aphel,"to profit, to aid someone | w. | : to affect"
byh^,"Masekhet: 71028, Page: 003, Side: 1, Line: 31, Word: 4",p02,,,,,b_,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix,"in, with"
kll,"Masekhet: 71028, Page: 003, Side: 1, Line: 32, Word: 0",a,,,,,kll,,,,at all,,,,כלל,kll,adverb,at all
slq),"Masekhet: 71028, Page: 003, Side: 2, Line: 13, Word: 0",verb G,,,,,slq,,,,to go up,to result,to travel,idioms:,סלקא,slq,verb peal,to go up | to result | to travel | idioms:
d(t),"Masekhet: 71028, Page: 003, Side: 2, Line: 13, Word: 1",noun sg. emphatic,,,,,"dˁt, dˁtˀ",,,,knowledge,,,,דעתא,d(t),noun sg. emphatic,knowledge
)myn),"Masekhet: 71028, Page: 003, Side: 2, Line: 13, Word: 2",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אמינא,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hw)yl,"Masekhet: 71028, Page: 003, Side: 2, Line: 13, Word: 3",c,,,,,[hwˀyl w_],,,,since,,,,הואיל,hw)yl,conjunction,since
"""wbngy(h""","Masekhet: 71028, Page: 003, Side: 2, Line: 13, Word: 4",No data,,,,,,,,,,,,,ובנגיעה,None,No data,
l),"Masekhet: 71028, Page: 003, Side: 2, Line: 14, Word: 0",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
